,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Cidreira,0.0,BR,2020-01-26 14:56:07,62.0,-30.18,-50.21,78.21,7.85
1,Isangel,82.0,VU,2020-01-26 14:56:08,81.0,-19.55,169.27,78.22,13.8
2,Vaini,0.0,TO,2020-01-26 14:56:09,86.0,-21.2,-175.2,79.07,12.08
3,Linqu,100.0,CN,2020-01-26 14:56:10,72.0,36.52,118.54,35.01,1.01
4,Goderich,100.0,CA,2020-01-26 14:54:56,94.0,43.75,-81.72,36.0,11.99
5,Chui,67.0,UY,2020-01-26 14:56:13,52.0,-33.7,-53.46,82.06,9.57
6,Jamestown,90.0,US,2020-01-26 14:56:14,92.0,42.1,-79.24,33.01,13.87
7,Hilo,53.0,US,2020-01-26 14:56:16,91.0,19.73,-155.09,66.0,3.0
8,Avallon,90.0,FR,2020-01-26 14:56:17,90.0,47.48,3.9,46.99,7.56
9,Cape Town,20.0,ZA,2020-01-26 14:54:38,37.0,-33.93,18.42,71.6,17.22
10,Ushuaia,100.0,AR,2020-01-26 14:52:43,89.0,-54.8,-68.3,42.66,3.4
11,Akdepe,23.0,TM,2020-01-26 14:56:21,55.0,42.06,59.38,34.41,13.04
12,Hambantota,75.0,LK,2020-01-26 14:56:22,77.0,6.12,81.12,79.81,20.94
13,Lokosovo,100.0,RU,2020-01-26 14:56:23,96.0,61.13,74.82,0.23,5.73
14,Baharly,11.0,TM,2020-01-26 14:56:25,48.0,38.44,57.43,40.77,4.81
15,Rundu,100.0,NA,2020-01-26 14:56:26,74.0,-17.93,19.77,73.15,6.15
16,Rikitea,94.0,PF,2020-01-26 14:56:27,78.0,-23.12,-134.97,79.16,14.63
17,Maues,100.0,BR,2020-01-26 14:56:29,55.0,-3.38,-57.72,89.51,3.4
18,Rockhampton,100.0,AU,2020-01-26 14:56:30,86.0,-23.38,150.5,73.69,5.39
19,Sovetskiy,100.0,RU,2020-01-26 14:56:31,96.0,61.36,63.58,1.85,4.47
20,Punta Arenas,92.0,CL,2020-01-26 14:56:33,58.0,-53.15,-70.92,53.01,34.0
21,Avarua,100.0,CK,2020-01-26 14:56:34,83.0,-21.21,-159.78,77.74,0.38
22,Araceli,78.0,PH,2020-01-26 14:56:35,85.0,10.55,119.99,79.99,6.29
23,Clyde River,90.0,CA,2020-01-26 14:56:36,68.0,70.47,-68.59,-20.2,8.05
24,Hobart,100.0,AU,2020-01-26 14:54:22,59.0,-42.88,147.33,59.0,3.0
25,Ponta do Sol,12.0,PT,2020-01-26 14:56:39,74.0,32.67,-17.1,64.99,1.99
26,Saskylakh,96.0,RU,2020-01-26 14:56:40,95.0,71.92,114.08,-17.73,11.83
27,Kahului,0.0,US,2020-01-26 14:56:42,77.0,20.89,-156.47,70.0,5.01
28,Allahabad,0.0,IN,2020-01-26 14:56:43,58.0,25.45,81.85,57.34,4.83
29,Hermanus,0.0,ZA,2020-01-26 14:56:44,57.0,-34.42,19.23,71.01,8.99
30,Nikolskoye,100.0,RU,2020-01-26 14:56:45,95.0,59.7,30.79,36.0,1.99
31,Codrington,91.0,AU,2020-01-26 14:56:47,71.0,-38.27,141.97,60.1,2.91
32,Lebu,0.0,CL,2020-01-26 14:56:48,52.0,-37.62,-73.65,74.71,9.01
33,San Patricio,97.0,MX,2020-01-26 14:56:49,72.0,19.22,-104.7,75.07,5.21
34,Hofn,75.0,IS,2020-01-26 14:56:51,67.0,64.25,-15.21,35.6,23.06
35,New Norfolk,100.0,AU,2020-01-26 14:56:52,59.0,-42.78,147.06,59.0,1.99
36,Bluff,4.0,NZ,2020-01-26 14:56:53,89.0,-46.6,168.33,55.0,5.64
37,Saint-Joseph,75.0,RE,2020-01-26 14:56:55,74.0,-21.37,55.62,78.8,18.34
38,Vestmannaeyjar,86.0,IS,2020-01-26 14:56:56,90.0,63.44,-20.27,37.49,29.75
39,Mataura,42.0,NZ,2020-01-26 14:56:57,89.0,-46.19,168.86,55.0,3.06
40,Shingu,100.0,JP,2020-01-26 14:56:58,83.0,33.73,135.98,54.46,22.44
41,East London,40.0,ZA,2020-01-26 14:57:00,56.0,-33.02,27.91,68.0,25.28
42,Nome,0.0,US,2020-01-26 14:57:01,72.0,64.5,-165.41,-9.65,8.43
43,Castro,0.0,BR,2020-01-26 14:55:24,44.0,-24.79,-50.01,80.98,6.98
44,Barrow,1.0,US,2020-01-26 14:57:04,68.0,71.29,-156.79,-20.2,10.29
45,Moussoro,2.0,TD,2020-01-26 14:57:05,8.0,13.64,16.49,85.71,9.78
46,Atuona,0.0,PF,2020-01-26 14:57:06,76.0,-9.8,-139.03,80.15,12.93
47,Saint-Philippe,75.0,RE,2020-01-26 14:57:07,74.0,-21.36,55.77,78.8,18.34
48,Mar del Plata,100.0,AR,2020-01-26 14:53:00,41.0,-38.0,-57.56,73.58,8.12
49,Margate,100.0,GB,2020-01-26 14:57:10,81.0,51.38,1.39,50.0,13.0
50,Albany,90.0,US,2020-01-26 14:53:55,93.0,42.6,-73.97,37.99,6.93
51,Mandalgovi,0.0,MN,2020-01-26 14:57:13,59.0,45.76,106.27,13.35,10.18
52,Danbury,75.0,US,2020-01-26 14:55:49,86.0,41.39,-73.45,43.0,5.82
53,Nhulunbuy,100.0,AU,2020-01-26 14:57:15,81.0,-12.23,136.77,85.41,19.6
54,Tuktoyaktuk,75.0,CA,2020-01-26 14:57:17,75.0,69.45,-133.04,-16.6,10.29
55,Kathmandu,66.0,NP,2020-01-26 14:57:18,91.0,27.72,85.32,43.21,1.68
56,Port Alfred,87.0,ZA,2020-01-26 14:53:03,75.0,-33.59,26.89,66.99,11.01
57,Cayenne,52.0,GF,2020-01-26 14:57:21,86.0,4.93,-52.33,80.69,7.87
58,Araouane,57.0,ML,2020-01-26 14:57:22,5.0,18.9,-3.53,91.65,5.12
